Hour of day	Day	Device	Campaign state	Campaign	Budget	Status	Campaign Type	Campaign sub-type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate	View-through Conv.	Search Impr. share	Search Lost IS (rank)	Search Lost IS (budget)	Content Impr. share	Content Lost IS (rank)	Content Lost IS (budget)							
21	3/8/2015	Computers	Enabled	Peugeot	9.8	eligible	Search Only	All features	1	2	50.00%	0.56	0.56	1.5	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
15	3/20/2015	Tablets with full browsers	Enabled	Peugeot	9.8	eligible	Search Only	All features	0	1	0.00%	0	0	4	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
20	3/3/2015	Computers	Enabled	Peugeot	9.8	eligible	Search Only	All features	0	1	0.00%	0	0	6	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
13	3/24/2015	Mobile devices with full browsers	Enabled	Peugeot	9.8	eligible	Search Only	All features	0	2	0.00%	0	0	1.5	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
23	3/31/2015	Computers	Enabled	Peugeot	9.8	eligible	Search Only	All features	0	1	0.00%	0	0	4	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
14	3/1/2015	Mobile devices with full browsers	Enabled	Peugeot	9.8	eligible	Search Only	All features	0	3	0.00%	0	0	1.7	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
10	2/5/2015	Mobile devices with full browsers	Enabled	Peugeot	9.8	eligible	Search Only	All features	0	1	0.00%	0	0	4	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
16	1/20/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	1	29	3.45%	0.76	0.76	2.4	0	0	0.00%	0	< 10%	1.00%	89.37%	 --	 --	 --							
19	1/15/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	10	0.00%	0	0	2.7	0	0	0.00%	0	< 10%	0.65%	> 90%	 --	 --	 --							
18	1/22/2015	Mobile devices with full browsers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
20	1/23/2015	Mobile devices with full browsers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	2	16	12.50%	0.61	1.22	1.7	0	0	0.00%	0	35.56%	8.89%	55.56%	 --	 --	 --							
23	2/9/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	2	0.00%	0	0	2	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
7	3/30/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	12	0.00%	0	0	7.8	0	0	0.00%	0	22.64%	71.70%	5.66%	 --	 --	 --							
13	3/7/2015	Computers	Enabled	Vauxhall	10	campaign budget constrained	Search Only	All features	0	4	0.00%	0	0	4	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
21	3/26/2015	Tablets with full browsers	Enabled	Vauxhall	10	campaign budget constrained	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
7	3/19/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	2	38	5.26%	0.2	0.41	8.4	0	0	0.00%	0	25.68%	74.32%	0.00%	 --	 --	 --							
22	1/17/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	1	1	100.00%	0.43	0.43	1	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
9	3/28/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	1	157	0.64%	0.24	0.24	7.8	0	0	0.00%	0	39.15%	60.10%	0.75%	 --	 --	 --							
22	2/15/2015	Tablets with full browsers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
15	1/14/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
13	1/12/2015	Mobile devices with full browsers	Enabled	Remarketing	20	campaign budget constrained	Display Only	Remarketing	3	276	1.09%	0.42	1.26	1	0	0	0.00%	0	 --	 --	 --	< 10%	7.47%	87.80%							
3	3/14/2015	Tablets with full browsers	Enabled	Remarketing	20	campaign budget constrained	Display Only	Remarketing	0	8	0.00%	0	0	1.3	0	0	0.00%	0	 --	 --	 --	< 10%	18.58%	79.02%							
0	2/13/2015	Tablets with full browsers	Enabled	Remarketing	20	campaign budget constrained	Display Only	Remarketing	1	151	0.66%	0.43	0.43	1.2	0	0	0.00%	0	 --	 --	 --	< 10%	38.44%	56.18%							
14	1/4/2015	Mobile devices with full browsers	Enabled	Remarketing	20	campaign budget constrained	Display Only	Remarketing	2	259	0.77%	0.28	0.55	1	0	0	0.00%	0	 --	 --	 --	< 10%	11.52%	82.85%						4341.35524	
12	2/5/2015	Computers	Enabled	Remarketing	20	campaign budget constrained	Display Only	Remarketing	2	629	0.32%	0.33	0.66	1.2	0	0	0.00%	0	 --	 --	 --	< 10%	21.25%	77.06%							
