Keyword state	Keyword	Campaign	Ad group	Status	Max. CPC	Match Type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Quality score	Converted clicks	Cost / converted click	Click conversion rate	Click Assisted Conv.	Impr. Assisted Conv.	Search Impr. share	Search Exact match IS	Search Lost IS (rank)
paused	 +renault +clio +lease	Renault	Renault Clio	campaign paused	0.78	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	"""leasing renault"""	Renault Grand Scenic	Renault Grand Scenic	campaign paused	1	Phrase	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	twin top astra lease	Vauxhall Astra (Petrol)	Vauxhall Astra Twin Top	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	120 bmw leasing	BMW	BMW 1series	campaign paused	0.67	Broad	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
enabled	"""leasing mini"""	Mini	Mini Cooper	campaign paused	1.25	Phrase	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	hippo car leasing	Hippo Leasing	Hippo Leasing (Generic)	eligible	0.98	Broad	1565	4710	33.23%	0.19	302.8	1.3	10	86	3.49	5.52%	34	35	82.49%	89.88%	7.20%
paused	contract hire and leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	1.2	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	car lease under 100	Chevrolet	Cherolet Spark	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	Renault megane convertible finance lease	Renault Megane	Megane CC	campaign paused	0.55	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	hippo car leasing	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	short term lease deal	Short term leasing	Short term leasing	campaign paused	0.98	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	aston martin leasing	Astin Martin	Aston Martin Vantage	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""leasing renault megane"""	Renault	Renault Megane	campaign paused	1	Phrase	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease Renault Clio"""	Renault	Renault Clio	campaign paused	0.89	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	4x4 leasing volvo	Volvo	Volvo XC90 D5	campaign paused	0.54	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	"""car leasing personal"""	Personal Leasing Quotes	Quick Leasing Quote (Generic)	paused	0.98	Phrase	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing peugeot	Peugeot 207	Peugeot 308	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""peugeot van lease"""	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	xf jaguar	Jaguar	Jaguar Premium Luxury	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	"""no deposit lease"""	No Deposit Deals	No Deposit Deals	paused	0.99	Phrase	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease vauxhall corsa"""	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	campaign paused	1.29	Phrase	17	469	3.62%	0.97	16.5	3.7	6	1	16.5	5.88%	1	0	82.14%	76.53%	3.68%
enabled	lease commercial van	VW Transporter	VW Commercial	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	no deposit insignia lease	Vauxhall	Vauxhall Insignia (Petrol)	paused	0.99	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	Ford Focus 1.6 TDCI Contract Hire	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
enabled	lease small citroen	Citroen	Citroen C3	campaign paused	0.75	Broad	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
enabled	lease megane	Renault Megane	Megane CC	campaign paused	0.75	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
