Keyword state	Keyword	Campaign	Ad group	Status	Max. CPC	Match Type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Quality score	Converted clicks	Cost / converted click	Click conversion rate	Click Assisted Conv.	Impr. Assisted Conv.	Search Impr. share	Search Exact match IS	Search Lost IS (rank)
paused	"""car lease quote"""	Personal Leasing Quotes	Quick Leasing Quote (Generic)	paused	1.35	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing avensis	Toyota	Toyota Avensis	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	"""leasing seat"""	Seat	Seat Ibiza	campaign paused	auto: 12.00	Phrase	37	460	8.04%	3.92	145	1.6	7	0	0	0.00%	0	1	93.50%	55.56%	0.20%
paused	"""car leasing no deposit"""	No Deposit Deals	No Deposit Deals	paused	0.99	Phrase	123	505	24.36%	0.84	103.42	1.7	6	2	51.71	1.63%	1	3	72.35%	91.78%	1.00%
removed	car leasing deals personal	Personal Leasing Quotes	Quick Leasing Quote (Generic)	removed	 --	Broad	498	6918	7.20%	0.77	383.93	2.9	0	10	38.39	2.01%	0	7	< 10%	< 10%	0.59%
paused	 +car +lease+ +Quote	Personal Leasing Quotes	Quick Leasing Quote (Generic)	paused	0.98	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	lease a ford focus	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	lease used cars	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	42	771	5.45%	0.27	11.31	5	10	0	0	0.00%	0	4	24.59%	54.58%	57.19%
enabled	lease white van	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	renault scenic leasing	Renault Grand Scenic	Renault Grand Scenic	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	"""first vehicle leasing"""	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	1.3	Phrase	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	convertible leasing	Saab	Saab Linear Convert	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	lease peugeot bipper	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	volkswagen van	VW Transporter	VW Caddy	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	used car lease programs	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	14	394	3.55%	0.28	3.87	6	9	0	0	0.00%	0	1	40.62%	60.00%	35.36%
enabled	range rover lease	RangeRover	3.6 TDV8 HSE	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	"""leasing Renault Clio"""	Renault	Renault Clio	campaign paused	0.89	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	vehicle leasing and contract hire	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	citroen c3 lease	Citroen	Citroen C3	campaign paused	1	Broad	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
removed	"""corsa lease deal"""	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	campaign paused	 --	Phrase	27	327	8.26%	1.06	28.54	3	0	1	28.54	3.70%	0	1	86.58%	82.01%	8.49%
enabled	Tiguan leasing	Volkswagen Tiguan	Volkswagen Tiguan	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	lease with no deposit Peugeot	Peugeot	Peugeot 107	low search volume	0.79	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	optima vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease car no deposit"""	No Deposit Deals	No Deposit Deals	eligible	0.99	Phrase	374	1392	26.87%	0.89	332.28	1.6	9	10	33.23	2.67%	4	7	96.87%	98.04%	1.88%
enabled	"""lease peugeot 107"""	Peugeot	Peugeot 107	eligible	0.99	Phrase	6	91	6.59%	0.61	3.68	3.3	8	0	0	0.00%	0	0	87.50%	74.47%	12.50%
paused	leasing peugeot bipper	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	"""leasing focus"""	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.89	Phrase	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	lease citroen c3	Citroen	Citroen C3	campaign paused	1	Broad	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
paused	no deposit car lease	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	freedom vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	golf leasing	VW	VW Golf	campaign paused	0.87	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	"""fiat car leasing"""	Fiat Punto	Fiat Punto	paused	0.99	Phrase	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	punto leasing	Fiat Punto	Fiat Punto	paused	0.6	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	Volkswagen Tiguan lease	Volkswagen Tiguan	Volkswagen Tiguan	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	"""car leasing companies"""	Generic Car Leasing	Car leasing	paused	auto: 0.99	Phrase	226	2974	7.60%	0.79	178.2	2.3	9	3	59.4	1.33%	0	2	36.80%	21.39%	1.36%
enabled	[no deposit leasing]	No Deposit Deals	No Deposit Deals	eligible	0.99	Exact	9	59	15.25%	0.82	7.35	1.3	10	1	7.35	11.11%	0	0	100.00%	100.00%	0.00%
paused	 +bmw +1 +Series +sport +lease	BMW	BMW 1series	campaign paused	1.03	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease a car with no deposit"""	No Deposit Deals	No Deposit Deals	eligible	0.45	Phrase	13	61	21.31%	0.42	5.42	2.4	9	3	1.81	23.08%	0	0	82.43%	79.03%	5.41%
paused	Ford Focus lease	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.68	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	[cheap toyota aygo]	Toyota	Toyota Aygo Blue	campaign paused	0.45	Exact	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing volvo 4x4	Volvo	Volvo XC90 D5	campaign paused	0.54	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	mini cooper leasing	Mini	Mini Cooper	campaign paused	0.75	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	"""audi a4 tdi lease"""	Audi	Audi A3	paused	0.65	Phrase	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	[leasing cheap car]	Toyota	Toyota Aygo Blue	campaign paused	0.89	Exact	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	[ling cars]	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	1.8	Exact	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	Hyundai lease	Hyundai	Hyundia i30 (1.4 Active)	campaign paused	1	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	hyundai i10 lease	Hyundai	Hyundai (i10)	campaign paused	1.05	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	"""car lease"""	Generic Car Leasing	Car leasing	paused	auto: 0.22	Phrase	46	635	7.24%	0.61	28.07	2.4	10	1	28.07	2.17%	0	0	< 10%	< 10%	0.53%
enabled	leasing Citroen	CitroenC2	CitroenC2	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	leasing unde 100	Chevrolet	Cherolet Spark	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	no deposit leasing van	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease cheap small car"""	Toyota	Toyota Aygo Blue	campaign paused	0.45	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	volkswagen van leasing	VW Transporter	VW Caddy	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	Renault convertible lease	Renault Megane	Megane CC	campaign paused	0.55	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	lease under 100	Chevrolet	Cherolet Spark	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	car leasing finance	Generic Car Leasing	Car leasing	paused	auto: 0.89	Broad	175	1798	9.73%	0.71	124.6	2.6	7	0	0	0.00%	2	3	< 10%	< 10%	0.50%
enabled	"""peugeot 107 leasing"""	Peugeot	Peugeot 107	eligible	0.79	Phrase	2	33	6.06%	0.7	1.4	3.2	6	0	0	0.00%	0	0	100.00%	100.00%	0.00%
enabled	"""van peugeot lease"""	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	hippo leasing ex demo	Hippo Leasing	Hippo Leasing (Generic)	low search volume	0.98	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	"""vauxhall corsa lease"""	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	campaign paused	1.3	Phrase	32	850	3.76%	0.98	31.41	3.4	6	0	0	0.00%	0	2	86.91%	84.70%	6.44%
enabled	leasing used cars	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	58	2499	2.32%	0.25	14.25	5.6	10	0	0	0.00%	0	3	27.07%	54.97%	61.82%
enabled	[leasing seat ibiza]	Seat	Seat Ibiza	campaign paused	auto: 12.00	Exact	2	10	20.00%	3.66	7.31	1.1	8	0	0	0.00%	0	0	71.43%	71.43%	0.00%
enabled	lease Chrysler	Chrysler Sebring	Chrysler	campaign paused	0.68	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	range rover lease	RangeRover	2.7 TDV6 HSE	campaign paused	0.55	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	all car leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing saab convertible	Saab	Saab Linear Convert	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	lease car bad credit	Bad Credit Leasing	Bad Credit	eligible	1.29	Broad	1596	31699	5.03%	1.05	"1,668.55"	5.1	10	113	14.77	7.08%	33	124	27.52%	53.92%	67.09%
enabled	[lease van no deposit]	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Exact	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	car leasing prestige	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing Chrysler Sebring	Chrysler Sebring	Chrysler	campaign paused	0.68	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	"""car leasing bad credit"""	Bad Credit Leasing	Bad Credit	eligible	1.3	Phrase	682	5906	11.55%	1.23	837.8	3.3	10	59	14.2	8.65%	12	53	67.97%	69.68%	23.88%
enabled	can you lease a used car	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	58	427	13.58%	0.28	16.14	3.2	9	2	8.07	3.45%	0	0	33.94%	59.43%	27.34%
paused	renault grande scenic	GRANDE SCENIC	GRANDE SCENIC	campaign paused	0.65	Broad	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
paused	cheap van leasing deals	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing alfa romeo	Alfa Romeo	Alfa Romeo Mito	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	dodge nitro leasing	Dodge nitro	Dodge nitro	campaign paused	0.77	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	private car leasing	Generic Car Leasing	Car leasing	paused	auto: 0.89	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease chevrolet spark"""	Chevrolet	Cherolet Spark	campaign paused	0.59	Phrase	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	no deposit juke lease	Nissan	Nissan Duke	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	fiat punto leasing	New 2 You	New 2 You (Generic)	campaign paused	1	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	leasing Grande Punto	Fiat Punto	Fiat Punto	paused	0.65	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	leasing vauxhall corsa	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	campaign paused	1.2	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	Subaru Impreza leasing	Subaru Impreza	Subaru Impreza	campaign paused	0.69	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	lease small deposit	No Deposit Deals	No Deposit Deals	eligible	0.99	Broad	51	290	17.59%	0.8	40.84	2.1	8	4	10.21	7.84%	2	0	61.05%	 --	32.00%
enabled	Ex demo hyundai i10	Hyundai	Hyundai (i10)	campaign paused	1	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	"""cheapest car lease deals no deposit"""	No Deposit Deals	No Deposit Deals	eligible	0.99	Phrase	23	79	29.11%	0.89	20.55	2.1	8	1	20.55	4.35%	0	0	53.74%	53.42%	1.36%
paused	[car lease]	Generic Car Leasing	Car leasing	paused	auto: 0.89	Exact	18	272	6.62%	0.71	12.86	3	10	0	0	0.00%	0	0	< 10%	< 10%	0.03%
enabled	hippo car lease	Hippo Leasing	Hippo Leasing (Generic)	eligible	0.98	Broad	576	3163	18.21%	0.47	268.39	2	10	15	17.89	2.61%	8	20	74.48%	73.15%	17.28%
enabled	"""short term lease"""	Short term leasing	Short term leasing	campaign paused	2	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""leasing peugeot van"""	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	city vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	Lease Peugeot 207	Peugeot 207	Peugeot 207	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease bad credit"""	Bad Credit Leasing	Bad Credit	eligible	0.99	Phrase	36	562	6.41%	0.93	33.63	4.3	10	2	16.82	5.56%	1	9	60.69%	63.89%	29.91%
enabled	"""cheap van lease hire"""	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	Mercedes Benz lease	Mercedes	Mercedes-Benz M	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
paused	 +car +lease +quote	Bad Credit Leasing	Quick Cars	paused	0.99	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
removed	cheap car leasing deals	No Deposit Deals	No Deposit Deals	removed	 --	Broad	344	2786	12.35%	0.84	289.22	2	0	6	48.2	1.74%	2	2	22.20%	< 10%	1.28%
paused	car lease specials	Generic Car Leasing	Car leasing	paused	auto: 0.89	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	car lease deals	New 2 You	New 2 You (Generic)	campaign paused	1	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	lease chevrolet	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	Ford Focus 1.8 TDCI Contract Hire	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease nissan juke"""	Nissan	Nissan Duke	campaign paused	1.2	Phrase	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	used car leasing special offers	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	234	6593	3.55%	0.28	66.04	5.6	9	1	66.04	0.43%	0	5	21.69%	25.00%	53.08%
paused	hippo car lease	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease with no deposit"""	No Deposit Deals	No Deposit Deals	eligible	0.99	Phrase	19	97	19.59%	0.8	15.24	1.6	10	1	15.24	5.26%	0	0	98.98%	100.00%	0.00%
paused	leasing mini cooper	Mini	Mini Cooper	campaign paused	0.75	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	Volvo D5	Volvo	Volvo XC90 D5	campaign paused	0.54	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease toyota"""	Toyota	Toyota Aygo Blue	campaign paused	0.45	Phrase	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	"""car lease no deposit"""	No Deposit Deals	No Deposit Deals	eligible	0.99	Phrase	156	659	23.67%	0.82	127.91	1.6	10	7	18.27	4.49%	0	2	92.69%	97.49%	2.11%
enabled	lease bmw sport	BMW	BMW 1series	campaign paused	0.67	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
paused	used vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	"""lease van"""	Vans	Peugeot Van (Partner)	campaign paused	auto: 1.50	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	hippo leasing	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing vauxhall astra convertible	Vauxhall Astra (Petrol)	Vauxhall Astra Twin Top	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""cheap van leasing no deposit"""	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	lease used car	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	6	170	3.53%	0.28	1.65	3.7	10	0	0	0.00%	0	0	< 10%	49.03%	4.53%
enabled	hippo lease cars	Hippo Leasing	Hippo Leasing (Generic)	eligible	0.98	Broad	453	2389	18.96%	0.52	237.22	2	10	15	15.81	3.31%	1	11	91.92%	100.00%	8.08%
paused	Leasing no deposit	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	187	983	19.02%	0.78	144.97	2	6	2	72.48	1.07%	0	2	84.16%	80.00%	3.08%
enabled	vw transporter lease	VW Transporter	VW Commercial	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	"""car leasing quote"""	Personal Leasing Quotes	Quick Leasing Quote (Generic)	paused	1.08	Phrase	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
paused	peugeot leasing	Peugeot	Peugeot 107	paused	0.99	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	lease a used car	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	67	958	6.99%	0.24	16.33	4.5	9	1	16.33	1.49%	0	1	23.64%	51.22%	58.24%
enabled	Volvo XC90	Volvo	Volvo XC90 D5	campaign paused	0.54	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	"""car lease financing"""	Generic Car Leasing	Car leasing	eligible	auto: 0.22	Phrase	0	29	0.00%	0	0	7.3	9	0	0	0.00%	0	0	23.58%	25.49%	60.98%
enabled	"""cheap small car lease"""	Toyota	Toyota Aygo Blue	campaign paused	1	Phrase	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	lease volkswagen van	VW Transporter	VW Caddy	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	[van leasing no deposit]	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Exact	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
removed	vauxhall insignia lease	Vauxhall	Vauxhall Insignia (Petrol)	removed	 --	Broad	127	2471	5.14%	0.79	100.56	3.8	0	2	50.28	1.57%	0	2	71.62%	81.36%	11.83%
enabled	Leasing Jaguar	Jaguar	Jaguar Premium Luxury	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	business vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	1.12	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	 +zero +deposit +car +lease	No Deposit	No deposit	campaign paused	0.98	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	vehicle leasing services	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	dcmd vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease ford ka"""	Ford KA	KA (1.2 Edge)	campaign paused	1	Phrase	6	142	4.23%	0.76	4.58	4	6	0	0	0.00%	0	0	85.03%	89.06%	13.77%
enabled	Subaru lease	Subaru Impreza	Subaru Impreza	campaign paused	0.69	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing renault scenic	Renault Grand Scenic	Renault Grand Scenic	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	[short term leasing]	Short term leasing	Short term leasing	campaign paused	1.79	Exact	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	[van leasing]	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.50	Exact	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
paused	Immediate car leasing	Bad Credit Leasing	Quick Cars	paused	0.6	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	"""ford focus lease"""	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.89	Phrase	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
removed	ford ka leasing	Ford KA	KA (1.2 Edge)	campaign paused	 --	Broad	37	2530	1.46%	0.79	29.28	5.2	0	0	0	0.00%	0	2	48.41%	70.00%	49.84%
removed	"""audi a4 leasing"""	Audi	Audi A3	removed	 --	Phrase	1	51	1.96%	0.98	0.98	5.3	0	0	0	0.00%	0	0	78.12%	67.74%	21.88%
enabled	lease Shogan	Mitsubishi	Mitsubishi Shogan	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
paused	 +no +deposit +peugeot +107 +lease	Peugeot	Peugeot 107	paused	0.79	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease with bad credit"""	Bad Credit Leasing	Bad Credit	eligible	0.99	Phrase	28	392	7.14%	0.9	25.21	3.3	10	2	12.6	7.14%	0	1	68.06%	63.33%	26.91%
paused	"""renault megane 1.6"""	Renault	Renault Megane	campaign paused	1	Phrase	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease a hyundai"""	Hyundai	Hyundai (i10)	campaign paused	0.99	Phrase	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	lease a bmw 1 series	BMW	BMW 1series	campaign paused	0.67	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	[personal car leasing]	Personal Leasing Quotes	Quick Leasing Quote (Generic)	paused	0.98	Exact	74	587	12.61%	0.79	58.21	2.3	9	0	0	0.00%	1	2	21.69%	21.69%	0.22%
paused	car lease contract	Generic Car Leasing	Car leasing	paused	auto: 0.89	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
removed	lease car no deposit	No Deposit Deals	No Deposit Deals	removed	 --	Broad	269	1847	14.56%	0.88	236.07	2.2	0	9	26.23	3.35%	4	9	62.04%	 --	4.32%
enabled	lease range rover	RangeRover	2.7 TDV6 S	campaign paused	0.55	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	vehicle leasing special offers	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	lease zero deposit	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	chevrolet matiz lease	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	commercial vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease cars with no deposit"""	No Deposit Deals	No Deposit Deals	eligible	0.99	Phrase	86	285	30.18%	0.88	75.53	1.5	9	5	15.11	5.81%	1	2	98.62%	98.03%	0.69%
