Ad state	Ad	Description line 1	Description line 2	Display URL	Destination URL	Final URL	Mobile final URL	Tracking template	Custom parameter	Campaign	Ad group	Status	Labels	Campaign Type	Campaign sub-type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate	View-through Conv.
removed	HyundiaiI10 £104pm	HyundaiI10 Hatch 1.2 Active 5dr	In Stock Delivery in 7 Days	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/hyundai/i10-hatchback-1.2-active-5dr-1020778					Hyundai	Hyundia i30 (1.4 Active)	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Lease FordFocus £169pm	1.6 TDCi Zetec 5dr Sports Model	Sat Nav/Alloy/Delivery in 7 days	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/ford/focus-hatchback/focus-diesel-hatchback-16-tdci-115-zetec-5dr-2310899					Ford	Ford Focus (1.6 TDCI)	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Lease Corsa Hatch £138pm	"Hatch,1.4 SXi 5dr In Stock,Delivery"	"in days. Alloys, CD, Sports Seats"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/personal-lease-cars/vauxhall/corsa-hatchback/corsa-hatchback-14-sxi-5dr-1086286					Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Ad name: Modular design ad created 12/6/13; 728 x 90;			hippoleasing.co.uk	http://hippoleasing.co.uk					Remarketing	Remarketing	removed	 --	Display Only	Remarketing	0	0	0.00%	0	0	0	0	0	0.00%	0
paused	Non status car leasing	Range of cars from £100pm in stock	"No Deposit, delivery in 7 days"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/subprime-cars					Bad Credit Leasing	Bad Credit	paused	 --	Search Only	All features	70	999	7.01%	0.95	66.53	3.1	4	16.46	5.80%	0
enabled	AudiA3 Hatch from £208	Ex Demo Range of A3's	"Air Con, ABS, CD, In Stock Now"	www.hippoleasing.co.uk		http://www.hippoleasing.co.uk/business-lease-cars/audi/a3-hatchback				Audi	Audi A3	approved	 --	Search Only	All features	123	921	13.36%	0.75	92.17	2	1	92.17	0.81%	0
paused	RenaultMegane £128pm	1.6 Expresssion 16V 5DR	New Shape in stock now.	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/renault/megane-hatchback/megane-hatchback-16-16v-110-dynamique-tomtom-5dr-2330916					Renault	Renault Megane	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
enabled	In stock cars to lease	"100's to choose from, all makes."	You can drive away the next day!	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/					Bad Credit Leasing	Quick Cars	approved	 --	Search Only	All features	3	220	1.36%	0.6	1.8	2	1	1.8	33.33%	0
removed	FordFocus Zetec £149pm	Top Deal FordFocus 1.6 Zetec 5Dr	Ex Demo Delivery in 7 days!	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/ford/focus-hatchback/focus-hatchback-16-zetec-5dr-7147047					Ford	Ford Focus (1.6 TDCI)	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Zero Deposit Car Leasing	Cars from £80pm with no deposit	"All In Stock, delivery in days."	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/search?mode=EDND&vt=cars					No Deposit Deals	No Deposit Deals	removed	 --	Search Only	All features	41	360	11.39%	0.68	27.73	2.4	0	0	0.00%	0
