Match Type	Search term	Added/Excluded	Campaign	Ad group	Keyword	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate
broad	short term car lease	None	Generic Car Leasing	Used Car Leasing	used lease cars	10	117	8.55%	0.37	3.72	4.8	0	0	0.00%
phrase	short term car lease	None	Generic Car Leasing	Car leasing	"""car lease"""	0	7	0.00%	0	0	1.7	0	0	0.00%
phrase (close variant)	used lease cars no deposit	None	No Deposit Deals	No Deposit Deals	"""lease car no deposit"""	2	2	100.00%	0.57	1.14	1	0	0	0.00%
broad	vauxhall insignia finance offers	None	Vauxhall	Vauxhall Insignia (Petrol)	vauxhall insignia lease	1	2	50.00%	0.92	0.92	3	0	0	0.00%
broad	sheffield car lease no depisit	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	2	1	200.00%	0.47	0.94	2	0	0	0.00%
broad	lease cars with option to buy	None	Generic Car Leasing	Car leasing	car lease purchase	1	1	100.00%	0.61	0.61	3	0	0	0.00%
phrase	ford ecosport lease bad credit	None	Bad Credit Leasing	Bad Credit	"""lease bad credit"""	1	1	100.00%	1.18	1.18	1	0	0	0.00%
phrase	vauxhall corsa lease personal lease	None	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	"""vauxhall corsa lease"""	0	2	0.00%	0	0	3	0	0	0.00%
phrase	buy car leasing uk	None	Hippo Leasing	Hippo Leasing (Generic)	"""car leasing uk"""	0	1	0.00%	0	0	3	0	0	0.00%
broad (session-based)	finance cars lanarkshire	None	Bad Credit Leasing	Bad Credit	lease cars bad credit	2	1	200.00%	0.89	1.78	4	0	0	0.00%
broad	hippo lease cars	Added	Hippo Leasing	Hippo Leasing (Generic)	hippo car lease	13	23	56.52%	0.16	2.07	1	1	2.07	7.69%
broad	cheap jaguar lease deals	None	Generic Car Leasing	Used Car Leasing	used car leasing special offers	1	2	50.00%	0.19	0.19	4.5	0	0	0.00%
broad	do you need a credit check to lease a car	None	Bad Credit Leasing	Bad Credit	lease car bad credit	1	10	10.00%	1.67	1.67	3	1	1.67	100.00%
broad	nil deposit car leasing	None	No Deposit Deals	No Deposit Deals	cheapest car lease deals no deposit	1	2	50.00%	0.93	0.93	1	0	0	0.00%
broad (session-based)	boucher road car	None	No Deposit Deals	No Deposit Deals	no deposit cars	1	1	100.00%	0.86	0.86	2	0	0	0.00%
broad	vauxhall lease no deposit	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	1	1	100.00%	0.5	0.5	2	0	0	0.00%
broad	funding a car lease	None	Generic Car Leasing	Car leasing	car lease financing	1	1	100.00%	0.5	0.5	1	0	0	0.00%
broad	no status car lease	None	No Deposit Deals	No Deposit Deals	zero deposit car lease	1	1	100.00%	0.93	0.93	3	0	0	0.00%
broad (session-based)	new car lease deals	None	No Deposit Deals	No Deposit Deals	cheap car lease deals no deposit	1	1	100.00%	0.77	0.77	1	0	0	0.00%
broad (session-based)	2 month car lease	None	Bad Credit Leasing	Bad Credit	lease car bad credit	1	1	100.00%	1.05	1.05	1	0	0	0.00%
broad	company car lease bad credit	None	Bad Credit Leasing	Bad Credit	leasing cars with bad credit	1	1	100.00%	0.8	0.8	3	0	0	0.00%
phrase	best company car leasing uk	None	Hippo Leasing	Hippo Leasing (Generic)	"""car leasing uk"""	1	1	100.00%	0.97	0.97	1	0	0	0.00%
